Rank;Startnumber;Firstname;Surname;Gender;Nat;Club;Race;Class;Total Time;Diff Winner;TimeOfDay;City
16;57;Mathias Huuse;Marley;M;NOR;Bærum OCK;FE 4;M Senior;24:34.7;3:44.5;2016-08-28T14:51:43.3060000;Oslo
17;120;Snorre;Setrom;M;NOR;Oppdal SK;FE 4;M Senior;24:37.9;3:47.7;2016-08-28T14:52:15.3960000;OPPDAL
18;157;Kristoffer;Haugland;M;NOR;OSLO;FE 4;M Senior;24:52.0;4:01.8;2016-08-28T14:49:03.0000000;OSLO
19;118;Simen Bjerke;Bekken;M;NOR;Oppdal SK;FE 4;M Senior;24:52.8;4:02.6;2016-08-28T14:53:05.0000000;OPPDAL
20;85;Magnus;Grönberg;M;NOR;Hemsedal IL Sykkel;FE 4;M Senior;25:12.5;4:22.3;2016-08-28T15:10:59.3980000;Hemsedal
21;125;John Ola;Buøy;M;NOR;Orkla CK;FE 4;M Senior;25:17.7;4:27.5;2016-08-28T14:57:42.3640000;Buvika
22;3;Björn;Larsson;M;SWE;JÄRPEN;FE 4;M Senior;25:34.0;4:43.8;2016-08-28T15:29:26.7720000;Järpen
23;126;Nils Bjarne;Krohn;M;NOR;Rauma SK;FE 4;M Senior;25:34.3;4:44.1;2016-08-28T15:04:40.6940000;Åndalsnes
24;65;Anders;Veland;M;NOR;Bergen MTB Klubb;FE 4;M Senior;25:53.3;5:03.1;2016-08-28T15:15:29.8830000;SOGNDAL
25;37;Øyvind;Hem;M;NOR;OPPDAL;FE 4;M Senior;25:56.6;5:06.4;2016-08-28T14:56:42.4740000;Oppdal
26;108;Kenneth;Bjørseth;M;NOR;Molde CK;FE 4;M Senior;25:58.6;5:08.4;2016-08-28T14:56:00.5210000;Molde
27;103;Morgan;Bakken;M;NOR;Kragerø SK;FE 4;M Senior;26:02.3;5:12.1;2016-08-28T14:55:09.7640000;Kragerø
28;58;Pål Einar;Spilleth;M;NOR;Bærum OCK;FE 4;M Senior;26:05.7;5:15.5;2016-08-28T15:02:37.0650000;OSLO
29;8;Espen;Kebely;M;NOR;NØTTERØY;FE 4;M Senior;26:07.0;5:16.8;2016-08-28T14:57:25.8370000;Nøtterøy
30;139;Harald;Brekke;M;NOR;SK Rye sykkel;FE 4;M Senior;26:38.4;5:48.2;2016-08-28T15:36:36.5640000;Snarøya
31;99;Kim;Andersen;M;NOR;Kolbotn SK;FE 4;M Senior;26:39.5;5:49.3;2016-08-28T15:23:27.6950000;SOFIEMYR
32;106;Magnus Kalstad;Forseth;M;NOR;Lillehammer CK;FE 4;M Senior;26:41.6;5:51.4;2016-08-28T14:57:59.2070000;LILLEHAMMER
33;107;Tom;Ruud;M;NOR;Lillehammer CK;FE 4;M Senior;26:45.5;5:55.3;2016-08-28T15:05:15.5120000;Lillehammer
34;60;Arild;Gravdal;M;NOR;Bergen MTB Klubb;FE 4;M Senior;26:53.0;6:02.8;2016-08-28T15:16:25.4270000;Øvre Ervik
35;88;Per Christian;Dahl;M;NOR;Hemsedal IL Sykkel;FE 4;M Senior;26:53.2;6:03.0;2016-08-28T15:10:33.4420000;HEMSEDAL
36;30;Martin;Svendsen;M;NOR;OSLO;FE 4;M Senior;26:59.5;6:09.3;2016-08-28T15:12:43.5140000;Oslo
37;31;Bård;Smestad;M;NOR;JAKOBSLI;FE 4;M Senior;27:00.5;6:10.3;2016-08-28T15:03:34.1400000;JAKOBSLI
38;49;Jørgen;Heir;M;NOR;Aron Skiklubb;FE 4;M Senior;27:01.2;6:11.0;2016-08-28T15:00:39.6040000;Kongsberg
39;119;Håkon;Mæhle;M;NOR;Oppdal SK;FE 4;M Senior;27:28.7;6:38.5;2016-08-28T14:54:01.5540000;
40;11;Eirik;Bækken;M;NOR;OS I ØSTERDALEN;FE 4;M Senior;27:34.0;6:43.8;2016-08-28T14:59:33.5980000;OS I ØSTERDALEN
41;4;Henning;Hovlan;M;NOR;BÆRUMS VERK;FE 4;M Senior;27:34.3;6:44.1;2016-08-28T15:00:10.3230000;BÆRUMS VERK
42;48;Daniel;Bengtsson;M;SWE;DUVED;FE 4;M Senior;27:34.3;6:44.1;2016-08-28T15:30:08.9010000;Duved
43;154;Mathias;Strøm;M;NOR;TVK;FE 4;M Senior;27:49.5;6:59.3;2016-08-28T15:06:00.7470000;Namsos
44;44;Jon-Gunnar;Fredriksen;M;NOR;OSLO;FE 4;M Senior;27:50.3;7:00.1;2016-08-28T15:01:09.0320000;Oslo
45;61;Leiv;Tvenning;M;NOR;Bergen MTB Klubb;FE 4;M Senior;27:51.1;7:00.9;2016-08-28T15:17:36.3950000;BERGEN
46;121;Rune;Gundersen;M;NOR;Oppdal SK;FE 4;M Senior;27:51.7;7:01.5;2016-08-28T15:02:18.6750000;VOGNILL
47;81;Jørgen;Tollefsrud;M;NOR;Hasle-Løren IL;FE 4;M Senior;27:58.5;7:08.3;2016-08-28T15:08:38.8120000;Oslo
48;134;Odd Magnus;Guldal;M;NOR;SK Rye sykkel;FE 4;M Senior;27:59.1;7:08.9;2016-08-28T15:33:51.9990000;Oslo
49;19;Øystein T.;Christensen;M;NOR;TRONDHEIM;FE 4;M Senior;28:00.1;7:09.9;2016-08-28T15:15:03.0660000;TRONDHEIM
50;26;Tommy;Pham;M;NOR;OSLOSLO;FE 4;M Senior;28:15.1;7:24.9;2016-08-28T15:13:23.3530000;OSLOslo
51;64;Mads;Øftshus;M;NOR;Bergen MTB Klubb;FE 4;M Senior;28:16.5;7:26.3;2016-08-28T15:17:09.9480000;BERGEN
52;137;Nicolas Yann;Couturier;M;FRA;SK Rye sykkel;FE 4;M Senior;28:20.8;7:30.6;2016-08-28T15:41:00.2220000;Oslo
53;34;Magnus;Innerdal;M;NOR;RANHEIM;FE 4;M Senior;28:28.0;7:37.8;2016-08-28T15:18:02.9770000;RANHEIM
54;73;Aleksander;Ødegård;M;NOR;Drammen CK;FE 4;M Senior;28:29.0;7:38.8;2016-08-28T15:32:49.1190000;KONGSBERG
55;76;Christoffer Engebretsen;Bakke;M;NOR;Drøbak-Frogn IL Sykkel;FE 4;M Senior;28:33.9;7:43.7;2016-08-28T15:21:46.5420000;VESTBY
56;158;Olav;Fosshaugen;M;NOR;OSLO;FE 4;M Senior;28:40.1;7:49.9;2016-08-28T15:14:25.5030000;OSLO
57;7;Geir;Jørgensen;M;NOR;OSLO;FE 4;M Senior;28:41.9;7:51.7;2016-08-28T15:19:04.7500000;OSLO
58;90;Andreas Strømsvåg;Francke;M;NOR;IF Frøy;FE 4;M Senior;28:44.0;7:53.8;2016-08-28T15:10:46.4130000;Oslo
59;123;Trygve ;Sande;M;NOR;Oppdal SK / VPG;FE 4;M Senior;28:44.1;7:53.9;2016-08-28T14:47:12.6360000;
60;132;Dag Harald;Bakken;M;NOR;Røros IL Sykkel;FE 4;M Senior;28:47.6;7:57.4;2016-08-28T14:56:17.3820000;RØROS
61;153;Frode;Sørøy;M;NOR;TVK;FE 4;M Senior;29:17.1;8:26.9;2016-08-28T15:07:10.3930000;HEIMDAL
62;20;Viktor;Linnerö;M;SWE;ÅRE;FE 4;M Senior;29:20.4;8:30.2;2016-08-28T15:31:15.5760000;Åre
63;29;Colin;Furmston;M;AUS;OTTESTAD;FE 4;M Senior;29:28.1;8:37.9;2016-08-28T15:35:14.4140000;OTTESTAD
64;14;Kasper;Madsen;M;NOR;BEITOSTØLEN;FE 4;M Senior;29:37.6;8:47.4;2016-08-28T15:12:18.0530000;BEITOSTØLEN
65;155;Marius;Hopen;M;NOR;TVK;FE 4;M Senior;29:46.4;8:56.2;2016-08-28T15:08:02.5370000;HEIMDAL
66;40;Stian;Engebretsen;M;NOR;SKEDSMOKORSET;FE 4;M Senior;30:08.7;9:18.5;2016-08-28T15:35:06.7030000;SKEDSMOKORSET
67;79;Robert;Torp;M;NOR;Gresvik IF;FE 4;M Senior;30:31.2;9:41.0;2016-08-28T15:09:25.3480000;Fredrikstad
68;94;Stian;Hammer;M;NOR;IL Norodd;FE 4;M Senior;30:35.5;9:45.3;2016-08-28T15:10:20.5290000;Oslo
69;59;Henrik;Muhlbradt;M;NOR;Bærum OCK;FE 4;M Senior;30:37.6;9:47.4;2016-08-28T15:03:56.2860000;Oslo
70;82;Trym;Flaget;M;NOR;Hemsedal IL Sykkel;FE 4;M Senior;31:03.8;10:13.6;2016-08-28T15:26:49.5370000;Hemsedal
71;127;Stian;Eilifsen;M;NOR;Romeriksåsen SK;FE 4;M Senior;31:16.7;10:26.5;2016-08-28T15:27:20.2410000;SKJETTEN
72;23;Ketil;Lindberg;M;NOR;TRONDHEIM;FE 4;M Senior;31:35.7;10:45.5;2016-08-28T15:16:07.0370000;TRONDHEIM
73;68;Andreas;Klette;M;NOR;Bodø Freeride Team;FE 4;M Senior;31:37.4;10:47.2;2016-08-28T15:28:47.8380000;BODØ
74;45;Lasse;Storholt;M;NOR;HYGGEN;FE 4;M Senior;31:39.7;10:49.5;2016-08-28T15:06:53.5450000;HYGGEN
75;25;Ole Henrik Løland;Eriksen;M;NOR;OSLO;FE 4;M Senior;32:11.7;11:21.5;2016-08-28T15:20:14.1220000;OSLO
76;93;Eivind;Bjerke;M;NOR;IK Hero;FE 4;M Senior;32:13.1;11:22.9;2016-08-28T15:18:59.4020000;OSLO
77;128;Geir Vidar;Bjørndalen;M;NOR;Romeriksåsen SK;FE 4;M Senior;32:21.3;11:31.1;2016-08-28T15:13:23.1290000;Gjerdrum
78;101;Morten;Ligård;M;NOR;Kongsberg IF Sykkel;FE 4;M Senior;32:30.8;11:40.6;2016-08-28T15:39:40.5060000;Kongsberg
79;116;Sindre;Støer;M;NOR;Oppdal SK;FE 4;M Senior;32:51.0;12:00.8;2016-08-28T15:39:04.0630000;Gjettum
80;47;Jostein;Semb;M;NOR;GJERDRUM;FE 4;M Senior;33:06.0;12:15.8;2016-08-28T15:28:11.7080000;GJERDRUM
81;42;Svenn Morten;Iversen;M;NOR;NAMSOS;FE 4;M Senior;33:06.5;12:16.3;2016-08-28T15:26:56.4760000;NAMSOS
82;150;Geir;Hanssen;M;NOR;Stiftstaden SK Trondheim;FE 4;M Senior;33:10.4;12:20.2;2016-08-28T15:29:21.7540000;Trondheim
83;18;Magnus;Jansson;M;NOR;ÅRE;FE 4;M Senior;33:32.7;12:42.5;2016-08-28T15:32:32.6250000;Åre
84;27;Bartek;Wichrowski;M;NOR;KRISTIANSUND N;FE 4;M Senior;33:36.4;12:46.2;2016-08-28T15:23:59.5470000;KRISTIANSUND N
85;95;Tomas;Hånde;M;NOR;IL Norodd;FE 4;M Senior;34:12.5;13:22.3;2016-08-28T15:26:16.0660000;KRISTIANSUND N
86;12;Anders;Lundestad;M;NOR;MOSJØEN;FE 4;M Senior;34:18.5;13:28.3;2016-08-28T15:25:33.1330000;MOSJØEN
87;1;Adam;Hahne;M;NOR;KOLBOTN;FE 4;M Senior;34:58.9;14:08.7;2016-08-28T15:25:22.9400000;Kolbotn
88;22;Tor Arne;Holen;M;NOR;TORP;FE 4;M Senior;35:24.0;14:33.8;2016-08-28T15:43:57.8150000;TORP
89;143;Lars Kristian;Günther;M;NOR;Skjeberg CK;FE 4;M Senior;35:25.0;14:34.8;2016-08-28T15:42:54.4100000;DEGERNES
90;36;Stein Kåre;Øfjord;M;NOR;NITTEDAL;FE 4;M Senior;35:39.0;14:48.8;2016-08-28T15:23:41.1450000;NITTEDAL
91;41;Peter;Weir;M;NOR;NYBORG;FE 4;M Senior;36:04.7;15:14.5;2016-08-28T15:22:22.0510000;NYBORG
92;24;Preben Lunde;Simonsen;M;NOR;TRONDHEIM;FE 4;M Senior;38:12.5;17:22.3;2016-08-28T15:43:24.7120000;TRONDHEIM
93;159;Martin;Haugland;M;NOR;IL Norodd;FE 4;M Senior;43:31.5;22:41.3;2016-08-28T15:15:31.0010000;KRISTIANSUND N
94;35;Lars Thore;Aarrestad;M;NOR;TRONDHEIM;FE 4;M Senior;44:04.5;23:14.3;2016-08-28T15:27:59.6940000;TRONDHEIM
